('0cetNHnk00KPTlSY8Uu4UV',0.344,0.372,313547,0.694,0,11,-7.3,0,0.0651,124.046,4,0.498)
('089XJfZCapAEf3dkVoGQtq',0.141,0.554,223227,0.949,1.73e-05,8,-3.185,1,0.229,169.952,4,0.659)
('4HkJZAJUvXmqGquwlXFTCu',0.0406,0.781,404067,0.77,2.11e-06,6,-4.421,0,0.23,80.052,4,0.502)
('4bkQ5qMopdgMfVWMm0A0LF',0.00393,0.339,237987,0.969,2.89e-06,9,-5.056,1,0.175,105.126,4,0.271)
('5aCX1Dx6WhiBpHbG3WX3IV',0.113,0.64,246335,0.945,0.685,10,-6.913,1,0.0409,130.021,4,0.608)
('59FIx5Z8NIqGdDN3CPQNp8',0.000306,0.499,188000,0.785,0,1,-3.581,1,0.133,88.983,4,0.611)
('2Kt1XplPBQBsDKQDa6TssB',0.0553,0.568,246493,0.871,0.51,0,-3.453,1,0.0308,119.99,4,0.367)
('6HcHQ2Zi9aKU3tHr2uycXS',0.803,0.656,276933,0.347,5.58e-06,11,-13.692,0,0.0669,111.557,4,0.731)
('22ieYKXx548wrmLdZF9wAV',0.356,0.844,258667,0.909,0,2,-4.842,1,0.169,100.504,4,0.947)
('6rE5H1kdjei3V4Qw6yehPY',0.715,0.622,62693,0.284,0,5,-10.967,1,0.0329,71.549,4,0.828)
('1gGcKk7W1priUoTwotuoqT',0.0073,0.481,301533,0.879,1.72e-05,11,-5.178,0,0.268,89.436,4,0.533)
('4bkhs6spQvVnVJAlXuKR6a',0.0405,0.813,221972,0.58,8.45e-06,11,-6.724,1,0.0746,100.045,4,0.444)
('7mxasIaWn36nlN8TmnvFh6',1.09e-06,0.354,173293,0.991,0.923,7,-2.429,1,0.0722,140.48,4,0.31)
('7JcTmcm0i5gCHY2XatQ7Th',0.84,0.32,203520,0.0975,0.0412,0,-16.063,1,0.0321,133.823,3,0.199)
('5zWNkmsqZrj3ypDs5sDdOc',0.000143,0.318,226413,0.963,0.343,0,-1.178,1,0.211,151.274,4,0.253)
